"player_id","player_name","team","slug_anterior","slug_verificado_nuevo","cambia","sorare_exists","sorare_display_name","sorare_birth_day","sorare_active_club","club_match","sorare_url","external_source_url","source_used","verification_status","original_review_notes","claude_decision","claude_final_slug","claude_notes"
"ec65f9e4-683e-411f-b0ab-911db9a4493c","S. Flores","Deportivo Alavés","","","no","no","","","","unknown","https://sorare.com/football/players/","https://es.wikipedia.org/wiki/Silvana_Flores_Larsen","Wikipedia search result","NO_DECISION_IN_REVIEW","review suggested_slug","NO_DECISION_IN_REVIEW","","No he podido verificar con confianza suficiente la identidad real o el slug exacto en fuentes oficiales. Dejar en revisión manual."
"dd425a92-be0c-4a6b-847f-6f7695b9a63c","Peque","Sevilla FC","gerard-fernandez-castellano","gerard-fernandez-castellano","no","yes","Peque Fernández","2002-10-04","Sevilla FC","yes","https://sorare.com/football/players/gerard-fernandez-castellano","https://es.wikipedia.org/wiki/Peque","Sorare GraphQL API; Wikipedia search result","VERIFIED_API_IDENTITY","auto-applied","ACCEPT","gerard-fernandez-castellano","Verificado correctamente por vuestro propio auditor via API de Sorare."
"bfc14baa-638f-4c5e-8718-706d411a84cf","J. Castro","Deportivo Alavés","","","no","no","","","","unknown","https://sorare.com/football/players/","https://es.wikipedia.org/wiki/J._Castro","Wikipedia search result","NO_DECISION_IN_REVIEW","review suggested_slug","NO_DECISION_IN_REVIEW","","No he podido verificar con confianza suficiente la identidad real o el slug exacto en fuentes oficiales. Dejar en revisión manual."
"2fa36c6a-fb4a-4505-8e88-5fed220df8a4","Vinícius Júnior 2.º","Real Madrid","vinicius-jose-paixao-de-oliveira-junior","vinicius-jose-paixao-de-oliveira-junior","no","yes","Vinícius Júnior","2000-07-12","Real Madrid","yes","https://sorare.com/football/players/vinicius-jose-paixao-de-oliveira-junior","https://es.wikipedia.org/wiki/Vin%C3%ADcius_J%C3%BAnior","Sorare GraphQL API; Wikipedia search result","VERIFIED_API_IDENTITY","auto-applied","ACCEPT","vinicius-jose-paixao-de-oliveira-junior","Verificado correctamente por vuestro propio auditor via API de Sorare."
"d4932652-c975-4031-a092-6e0ae5867c54","Roger Brugué","Levante UD","","","no","no","","","","unknown","https://sorare.com/football/players/","https://es.wikipedia.org/wiki/Roger_Brugu%C3%A9","Wikipedia search result","NO_DECISION_IN_REVIEW","review suggested_slug","NO_DECISION_IN_REVIEW","","No he podido verificar con confianza suficiente la identidad real o el slug exacto en fuentes oficiales. Dejar en revisión manual."
"50f07b7a-1bb1-41a1-b077-e81e1af69a34","José Antonio Morante","Real Betis","","","no","no","","","","unknown","https://sorare.com/football/players/","https://es.wikipedia.org/wiki/Morante_de_la_Puebla","Wikipedia search result","NO_DECISION_IN_REVIEW","review suggested_slug","NO_DECISION_IN_REVIEW","","No he podido verificar con confianza suficiente la identidad real o el slug exacto en fuentes oficiales. Dejar en revisión manual."
"87b6b03a-15e9-440d-9140-10b8131351be","Gamón","Valencia CF","","","no","no","","","","unknown","https://sorare.com/football/players/","https://es.wikipedia.org/wiki/Gam%C3%B3n","Wikipedia search result","NO_DECISION_IN_REVIEW","review suggested_slug","NO_DECISION_IN_REVIEW","","No he podido verificar con confianza suficiente la identidad real o el slug exacto en fuentes oficiales. Dejar en revisión manual."
"7f36e34a-c829-41c1-afe4-8b798f13ba75","Oláiz","Deportivo Alavés","","xanet-olaiz","yes","no","","","","unknown","https://sorare.com/football/players/xanet-olaiz","https://es.wikipedia.org/wiki/Olaiz","Sorare GraphQL API; Wikipedia search result","INVALID_SLUG_NOT_FOUND","review suggested_slug","CANDIDATE_TO_VERIFY","xanet-olaiz-ibarzabal","Identidad confirmada por fuentes oficiales: Xanet Oláiz Ibarzábal, nacido 18/07/2005 en Astigarraga, defensa del Alavés (habitualmente en el filial). El slug 'xanet-olaiz' que probé no existe; probad esta variante con el segundo apellido u otras variantes vía vuestra API de Sorare. Es canterano con pocos minutos en 1ª plantilla, cabe la posibilidad de que aún no tenga carta en Sorare."
"c9ed15ae-a7cd-4ffa-9d58-1a577f869d6f","Cuti Romero","Atlético de Madrid","cristian-gabriel-romero","cristian-gabriel-romero","no","yes","Cristian Romero","1998-04-27","Atlético de Madrid","yes","https://sorare.com/football/players/cristian-gabriel-romero","https://es.wikipedia.org/wiki/Cuti_Romero","Sorare GraphQL API; Wikipedia search result","VERIFIED_API_IDENTITY","auto-applied","ACCEPT","cristian-gabriel-romero","Verificado correctamente por vuestro propio auditor via API de Sorare."
"b47a2756-1b3d-497e-8ec4-73bc6634405b","S. José","Rayo Vallecano","","","no","no","","","","unknown","https://sorare.com/football/players/","https://es.wikipedia.org/wiki/Jos%C3%A9_S._Ben%C3%ADtez","Wikipedia search result","NO_DECISION_IN_REVIEW","review suggested_slug","NO_DECISION_IN_REVIEW","","No he podido verificar con confianza suficiente la identidad real o el slug exacto en fuentes oficiales. Dejar en revisión manual."
"c0150e31-ac62-4fba-8bff-31d36e1453d0","X. Olaiz","Deportivo Alavés","","xanet-olaiz","yes","no","","","","unknown","https://sorare.com/football/players/xanet-olaiz","https://www.transfermarkt.es/schnellsuche/ergebnis/schnellsuche?query=X.%20Olaiz","Sorare GraphQL API; Transfermarkt search","INVALID_SLUG_NOT_FOUND","review suggested_slug","CANDIDATE_TO_VERIFY","xanet-olaiz-ibarzabal","Misma persona que la fila 'Oláiz' (ver sorare-duplicate-audit). Aplicar la misma decisión a ambas filas y revisar duplicidad de player_id."
"995c6cb9-cfa2-4601-a5cc-dd1c94f46dac","Konaré","Elche CF","","","no","no","","","","unknown","https://sorare.com/football/players/","https://es.wikipedia.org/wiki/Alpha_Oumar_Konar%C3%A9","Wikipedia search result","NO_DECISION_IN_REVIEW","review suggested_slug","CANDIDATE_TO_VERIFY","umaru-konare-tounkara","Identidad confirmada: Umaru Konaré Tounkara, nacido 10/08/2004 en Monforte del Cid. Acaba de debutar con el primer equipo del Elche en pretemporada 2026/27 (procede del filial). Es tan reciente su subida que podría no tener aún carta en Sorare - confirmar con vuestra API."
