"player_id","player_name","team","slug_anterior","slug_verificado_nuevo","cambia","sorare_exists","sorare_display_name","sorare_birth_day","sorare_active_club","club_match","sorare_url","external_source_url","source_used","verification_status","original_review_notes","claude_decision","claude_notes"
"e1587c61-7531-4715-bf98-b0c5cf49eecb","Randy Nteka","Rayo Vallecano","randy-ntekja","randy-ntekja","no","yes","Randy Nteka","1997-12-06","Rayo Vallecano","yes","https://sorare.com/football/players/randy-ntekja","","Sorare GraphQL API","VERIFIED_API_IDENTITY","all mapped audit","ACCEPT",""
"d8ca946f-2daa-4cd1-ad73-17f7d90ebd4c","Marcão","Sevilla FC","marcos-do-nascimento-teixeira","marcos-do-nascimento-teixeira","no","yes","MARCAO","1996-06-05","Sevilla FC","yes","https://sorare.com/football/players/marcos-do-nascimento-teixeira","","Sorare GraphQL API","VERIFIED_API_IDENTITY","all mapped audit","ACCEPT",""
"9f725cbb-0211-484c-ae9c-2f860de4f12f","Pathé Ciss","Rayo Vallecano","pathe-ciss","pathe-ciss","no","yes","Pathé Ciss","1994-03-16","Rayo Vallecano","yes","https://sorare.com/football/players/pathe-ciss","","Sorare GraphQL API","VERIFIED_API_IDENTITY","all mapped audit","ACCEPT",""
"bc05cdd3-951e-4e9d-a6cf-f474219ad3cb","Ortiz","Atlético de Madrid","arnau-ortiz-sanchez","arnau-ortiz-sanchez","no","yes","Arnau Ortiz","2001-10-29","Atlético de Madrid","yes","https://sorare.com/football/players/arnau-ortiz-sanchez","","Sorare GraphQL API","VERIFIED_API_IDENTITY","all mapped audit","ACCEPT",""
"a5913cc1-ed17-46af-9124-2ef5c9e3b10a","Xavi Espart","FC Barcelona","xavi-espart-font","xavi-espart-font","no","yes","Xavi Espart","2007-05-21","FC Barcelona Atlètic","yes","https://sorare.com/football/players/xavi-espart-font","","Sorare GraphQL API","VERIFIED_API_IDENTITY","all mapped audit","ACCEPT",""
"220fd953-f35b-40ce-b312-1a47b77de49b","Kervin Arriaga","Levante UD","kervin-arriaga","kervin-arriaga","no","yes","Kervin Arriaga","1998-01-05","AEK Athens FC","no","https://sorare.com/football/players/kervin-arriaga","","Sorare GraphQL API","REVIEW_CLUB_MISMATCH","all mapped audit","LIKELY_ACCEPT_STALE_TEAM","Nombre y fecha de nacimiento son un identificador único y coinciden, así que muy probablemente es la misma persona y el slug es correcto; lo más probable es que sea un traspaso/cesión reciente que vuestro campo 'team' aún no refleja (como confirmé para Araujo y Mastantuono), no un fallo de identidad. Recomiendo aceptar el slug pero además programar una actualización periódica del campo 'team' de la app contra una fuente en vivo (LaLiga oficial o Sorare) para estos casos de traspaso."
"a880703f-a919-44b9-aeb0-531cea7c6a03","Florian Lejeune","Rayo Vallecano","florian-lejeune","florian-lejeune","no","yes","Florian Lejeune","1991-05-20","Rayo Vallecano","yes","https://sorare.com/football/players/florian-lejeune","","Sorare GraphQL API","VERIFIED_API_IDENTITY","all mapped audit","ACCEPT",""
"2ed1decf-8c51-4e14-8af4-9c8afdf1b64b","Toljan","Levante UD","jeremy-toljan","jeremy-toljan","no","yes","Jeremy Toljan","1994-08-08","Levante UD","yes","https://sorare.com/football/players/jeremy-toljan","","Sorare GraphQL API","VERIFIED_API_IDENTITY","all mapped audit","ACCEPT",""
"6372d3c5-c1dc-413d-90b8-a97cedbc0293","Unai López","Rayo Vallecano","unai-lopez-cabrera","unai-lopez-cabrera","no","yes","Unai López","1995-10-30","Rayo Vallecano","yes","https://sorare.com/football/players/unai-lopez-cabrera","","Sorare GraphQL API","VERIFIED_API_IDENTITY","all mapped audit","ACCEPT",""
"277c29e6-dbb6-4745-89ee-6ac258154f1d","Tyrhys Dolan","RCD Espanyol","tyrhys-dolan","tyrhys-dolan","no","yes","Tyrhys Dolan","2001-12-28","RCD Espanyol de Barcelona","yes","https://sorare.com/football/players/tyrhys-dolan","","Sorare GraphQL API","VERIFIED_API_IDENTITY","all mapped audit","ACCEPT",""
"f5d99ab2-aeee-4fb0-a9da-1483de91614f","Aitor Paredes","Athletic Club","aitor-paredes-casamichana","aitor-paredes-casamichana","no","yes","Aitor Paredes","2000-04-29","Athletic Club","yes","https://sorare.com/football/players/aitor-paredes-casamichana","","Sorare GraphQL API","VERIFIED_API_IDENTITY","all mapped audit","ACCEPT",""
"2fa36c6a-fb4a-4505-8e88-5fed220df8a4","Vinícius Júnior 2.º","Real Madrid","vinicius-jose-paixao-de-oliveira-junior","vinicius-jose-paixao-de-oliveira-junior","no","yes","Vinícius Júnior","2000-07-12","Real Madrid","yes","https://sorare.com/football/players/vinicius-jose-paixao-de-oliveira-junior","","Sorare GraphQL API","VERIFIED_API_IDENTITY","all mapped audit","ACCEPT",""
